title,link,author,author_link,date
Accounting professionals’ legitimacy maintenance of modern slavery inspired extreme work practices in an emerging economy,https://pureportal.coventry.ac.uk/en/publications/accounting-professionals-legitimacy-maintenance-of-modern-slavery,"Win, S.,Chhatbar, M., Purajali, M. & Clement, S.,",https://pureportal.coventry.ac.uk/en/persons/mehul-chhatbar,23 Feb 2024
A risk–return trade‐off or co‐movement? Are food processing firms risk‐averse?,https://pureportal.coventry.ac.uk/en/publications/a-riskreturn-tradeoff-or-comovement-are-food-processing-firms-ris,"Mukherjee, S., Mukherjee, S., Parhi, M., Duan, K. &Usman, A.,",https://pureportal.coventry.ac.uk/en/persons/ahmed-usman,7 Apr 2024
Assessing the implementation of Santiago Principles by Sovereign Wealth Funds in the ASEAN Community,https://pureportal.coventry.ac.uk/en/publications/assessing-the-implementation-of-santiago-principles-by-sovereign-,",Rwakigumba, R.,",https://pureportal.coventry.ac.uk/en/persons/ronald-rwakigumba,10 Sept 2024
Beyond Profit: The Humanisation of Economics Through the Theory of Equitable Optimality,https://pureportal.coventry.ac.uk/en/publications/beyond-profit-the-humanisation-of-economics-through-the-theory-of,",Alamad, S.,",https://pureportal.coventry.ac.uk/en/persons/samir-alamad,13 Apr 2024
Catalysing Environmental Action: a Governance Framework for Enhancing Individual Participation in Sub-Saharan Africa’s Plastic Circular Economy,https://pureportal.coventry.ac.uk/en/publications/catalysing-environmental-action-a-governance-framework-for-enhanc,"Ambituuni, A.,Ajala, O., Schroeder, P. & Oyinlola, M.,",https://pureportal.coventry.ac.uk/en/persons/olubunmi-ajala,17 Sept 2024
CEO succession origin and annual reports readability,https://pureportal.coventry.ac.uk/en/publications/ceo-succession-origin-and-annual-reports-readability,"Oradi,https://pureportal.coventry.ac.uk/en/persons/sahar-e-vahdati, Hesarzadeh, R.,E-Vahdati, S.& Nadeem, M.,",https://pureportal.coventry.ac.uk/en/persons/sahar-e-vahdati,Nov 2024
Contextualised accountant stereotypes: understanding their social construction and reconstruction in Chinese society,https://pureportal.coventry.ac.uk/en/publications/contextualised-accountant-stereotypes-understanding-their-social-,"Wang, Y. & Chen, J.,",,4 Jan 2024
Corporate Financial Hedging and the Cost of Equity Capital,https://pureportal.coventry.ac.uk/en/publications/corporate-financial-hedging-and-the-cost-of-equity-capital-2,"&Ahmed, H. B.&",https://pureportal.coventry.ac.uk/en/persons/hany-ahmed,9 Jun 2024
Corporate governance and cost of equity: the moderating role of ownership concentration levels,https://pureportal.coventry.ac.uk/en/publications/corporate-governance-and-cost-of-equity-the-moderating-role-of-ow,"Hashmi, M. A., Istaqlal, U. &Brahmana, R. K.,",https://pureportal.coventry.ac.uk/en/persons/rayenda-khresna-brahmana,21 May 2024
"Diffusion theory, economic consequences, and adoption of international standards on auditing around the world",https://pureportal.coventry.ac.uk/en/publications/diffusion-theory-economic-consequences-and-adoption-of-internatio,", Ntim, C. G. & Yekini, K. C.,Elmghaamez, I., Ntim, C. G. & Yekini, K. C.,",https://pureportal.coventry.ac.uk/en/persons/ibrahim-elmghaamez,Sept 2024
Digitally enabled business models for a circular plastic economy in Africa,https://pureportal.coventry.ac.uk/en/publications/digitally-enabled-business-models-for-a-circular-plastic-economy-,"Kolade, O., Oyinlola, M., Ogunde, O., Ilo, C. &Ajala, O.,",https://pureportal.coventry.ac.uk/en/persons/olubunmi-ajala,Aug 2024
Does board–CEO age similarity affect earnings management? An empirical analysis from M&A contexts,https://pureportal.coventry.ac.uk/en/publications/does-boardceo-age-similarity-affect-earnings-management-an-empiri,", Alhababsah, S.,Nguyen, T., Alhababsah, S.,",https://pureportal.coventry.ac.uk/en/persons/thang-nguyen,6 Aug 2024
Does Digital Orientation Enhance Firm Performance?,https://pureportal.coventry.ac.uk/en/publications/does-digital-orientation-enhance-firm-performance,"& Kontesa, M.,Brahmana, R. K.& Kontesa, M.,",https://pureportal.coventry.ac.uk/en/persons/rayenda-khresna-brahmana,22 Aug 2024
Does digital transformation matter for international diversification? The role of product market competition,https://pureportal.coventry.ac.uk/en/publications/does-digital-transformation-matter-for-international-diversificat,", Kontesa, M. & Setiawan, D.,Brahmana, R. K., Kontesa, M. & Setiawan, D.,",https://pureportal.coventry.ac.uk/en/persons/rayenda-khresna-brahmana,24 Dec 2024
Does information seeking moderate the relationship between financial loan inclusion and Fintech P2P lending?,https://pureportal.coventry.ac.uk/en/publications/does-information-seeking-moderate-the-relationship-between-financ,", Kontesa, M. & Yau, J. T. H.,Brahmana, R. K., Kontesa, M. & Yau, J. T. H.,",https://pureportal.coventry.ac.uk/en/persons/rayenda-khresna-brahmana,Mar 2024
Does product market competition affect corporate waste management? International evidence,https://pureportal.coventry.ac.uk/en/publications/does-product-market-competition-affect-corporate-waste-management,"Atawnah, N.,Hossain, Z., Mamun, M. A. & Badarin, L.,",https://pureportal.coventry.ac.uk/en/persons/zakir-hossain,Sept 2024
Does R&D investment drive employment growth? Empirical evidence at industry level from Japan,https://pureportal.coventry.ac.uk/en/publications/does-rampd-investment-drive-employment-growth-empirical-evidence-,"Shah, I. H., Kollydas, K.,Lee, P. Y., Malki, I. & Chu, C.,",https://pureportal.coventry.ac.uk/en/persons/pakyee-lee,Jan 2024
Does sharia-compliant debt financing reduce stock price crash risk?,https://pureportal.coventry.ac.uk/en/publications/does-sharia-compliant-debt-financing-reduce-stock-price-crash-ris,"& Kontesa, M.,Brahmana, R. K.& Kontesa, M.,",https://pureportal.coventry.ac.uk/en/persons/rayenda-khresna-brahmana,21 Feb 2024
Does the CEO effect differ in times of crisis? Evidence from US and China during the global financial crisis,https://pureportal.coventry.ac.uk/en/publications/does-the-ceo-effect-differ-in-times-of-crisis-evidence-from-us-an,"Kleindienst, I., Haj Youssef, M., Harakeh, M. &Yu, M.,",https://pureportal.coventry.ac.uk/en/persons/mei-yu,Sept 2024
EDITORIAL: Participatory corporate governance for sustainability and accountability,https://pureportal.coventry.ac.uk/en/publications/editorial-participatory-corporate-governance-for-sustainability-a,",Alsaid, L.,",https://pureportal.coventry.ac.uk/en/persons/loai-alsaid,21 May 2024
Embedding stakeholder engagement in sustainability reporting: A 6-step cycle,https://pureportal.coventry.ac.uk/en/publications/embedding-stakeholder-engagement-in-sustainability-reporting-a-6-,",Tiong, P. N. C.,",https://pureportal.coventry.ac.uk/en/persons/paul-tiong,10 Apr 2024
"Entrepreneurship and innovation in Nigerian universities: Trends, challenges and opportunities",https://pureportal.coventry.ac.uk/en/publications/entrepreneurship-and-innovation-in-nigerian-universities-trends-c,"Oyinlola, M., Kolade, O., Okoya, S. A.,Ajala, O., Adefila, A., Adediji, A., Babaremu, K., Tijani, B., Adejuwon, J., Wambui, F. & Akinlabi, E. T.,",https://pureportal.coventry.ac.uk/en/persons/olubunmi-ajala,15 May 2024
Environmental and social accountability in emerging economies: strategic pressures from and responses to vulnerable local communities,https://pureportal.coventry.ac.uk/en/publications/environmental-and-social-accountability-in-emerging-economies-str,", Adhikari, P. & Liew, P. K.,Noah, A. O., Adhikari, P. & Liew, P. K.,",https://pureportal.coventry.ac.uk/en/persons/abdurafiu-noah,30 May 2024
ESG disclosure and financial performance of multinational enterprises: The moderating effect of board standing committees,https://pureportal.coventry.ac.uk/en/publications/esg-disclosure-and-financial-performance-of-multinational-enterpr,", Nwachukwu, J. & Ntim, C. G.,Elmghaamez, I., Nwachukwu, J. & Ntim, C. G.,",https://pureportal.coventry.ac.uk/en/persons/ibrahim-elmghaamez,Jul 2024
ESG performance and financial distress during COVID-19:  the moderating effects of innovation and capital intensity,https://pureportal.coventry.ac.uk/en/publications/esg-performance-and-financial-distress-during-covid-19-the-modera,"Binesh, F.,E-Vahdati, S.& Ozdemir, O.,",https://pureportal.coventry.ac.uk/en/persons/sahar-e-vahdati,19 Sept 2024
Evaluating Drivers of Fintech Adoption in the Netherlands,https://pureportal.coventry.ac.uk/en/publications/evaluating-drivers-of-fintech-adoption-in-the-netherlands,", Ashfaq, M. & Shao, L.,Hasan, R., Ashfaq, M. & Shao, L.,",https://pureportal.coventry.ac.uk/en/persons/rashedul-hasan,Dec 2024
Exploring the Efficacy of Ecolabels as a Marketing Strategy: Insights from the Emerging Bioplastic Packaging Market,https://pureportal.coventry.ac.uk/en/publications/exploring-the-efficacy-of-ecolabels-as-a-marketing-strategy-insig,",Baskoro, M. L.,",https://pureportal.coventry.ac.uk/en/persons/muhammad-lahandi-baskoro,Nov 2024
"External arms embargoes and their implications for government expenditure, democracy and internal conflict",https://pureportal.coventry.ac.uk/en/publications/external-arms-embargoes-and-their-implications-for-government-exp,"& Murshed, S. M.,Dizaji, S. F.& Murshed, S. M.,",https://pureportal.coventry.ac.uk/en/persons/sajjad-faraji-dizaji,1 Jan 2024
Female political empowerment and green finance,https://pureportal.coventry.ac.uk/en/publications/female-political-empowerment-and-green-finance,"Mamun, M. A., Boubaker, S.,Hossain, Z.& Manita, R.,",https://pureportal.coventry.ac.uk/en/persons/zakir-hossain,Mar 2024
Fiscal Consolidation and Firm Growth in Developing Countries: Evidence from Firm-level Data,https://pureportal.coventry.ac.uk/en/publications/fiscal-consolidation-and-firm-growth-in-developing-countries-evid,",Pahula, H.,",https://pureportal.coventry.ac.uk/en/persons/hildebrando-pahula-2,Jan 2024
Fostering trust and overcoming psychological resistance towards cryptocurrencies and cryptoassets,https://pureportal.coventry.ac.uk/en/publications/fostering-trust-and-overcoming-psychological-resistance-towards-c,",Babu, M. M.,",https://pureportal.coventry.ac.uk/en/persons/mujahid-mohiuddin-babu,Jan 2024
Government Ownership and the Public Information Content of Insider Trading: International Evidence,https://pureportal.coventry.ac.uk/en/publications/government-ownership-and-the-public-information-content-of-inside,", Pham, M. D., Treepongkaruna, S. & Yu, J.,Hossain, Z., Pham, M. D., Treepongkaruna, S. & Yu, J.,",https://pureportal.coventry.ac.uk/en/persons/zakir-hossain,21 Mar 2024
How consistent are measures of financial liberalization in assessing its impact on bank cost efficiency? A cross–country empirical analysis,https://pureportal.coventry.ac.uk/en/publications/how-consistent-are-measures-of-financial-liberalization-in-assess,",De Vita, G.,",https://pureportal.coventry.ac.uk/en/persons/glauco-de-vita,1 Nov 2024
Impact of attention on rare events across industries in Indonesia,https://pureportal.coventry.ac.uk/en/publications/impact-of-attention-on-rare-events-across-industries-in-indonesia,"Hariyanto, D.,Khresna Brahmana, R.& Wendy, W.,",https://pureportal.coventry.ac.uk/en/persons/rayenda-khresna-brahmana,12 Apr 2024
"Insider trading, gender diversity within the board room, CEO pay gap, and stock price crash risk",https://pureportal.coventry.ac.uk/en/publications/insider-trading-gender-diversity-within-the-board-room-ceo-pay-ga,", Nguyen, A.-N. & Gregoriou, A.,Le, V. P., Nguyen, A.-N. & Gregoriou, A.,",https://pureportal.coventry.ac.uk/en/persons/viet-le,Apr 2024
Insider Trading and CEO Pay-Gap Induced Turnover,https://pureportal.coventry.ac.uk/en/publications/insider-trading-and-ceo-pay-gap-induced-turnover,", Nguyen, A.-N., Gregoriou, A. & Forbes, W.,Le, V., Nguyen, A.-N., Gregoriou, A. & Forbes, W.,",https://pureportal.coventry.ac.uk/en/persons/viet-le,27 Oct 2024
Insider Trading before Earnings News: The Role of Executive Pay Disparity,https://pureportal.coventry.ac.uk/en/publications/insider-trading-before-earnings-news-the-role-of-executive-pay-di,"Nguyen, A.-N.,Le, V., Gregoriou, A. & Kernohan, D.,",https://pureportal.coventry.ac.uk/en/persons/viet-le,6 Oct 2024
"National culture, religiosity, and audited financial statements of small-scale MNCs",https://pureportal.coventry.ac.uk/en/publications/national-culture-religiosity-and-audited-financial-statements-of-,"Kontesa, M.,Brahmana, R. K.& You, H. W.,",https://pureportal.coventry.ac.uk/en/persons/rayenda-khresna-brahmana,30 May 2024
Performance measurement in urban development: unfolding a case of sustainability KPIs reporting,https://pureportal.coventry.ac.uk/en/publications/performance-measurement-in-urban-development-unfolding-a-case-of-,"& Ambilichu, C.,Alsaid, L.& Ambilichu, C.,",https://pureportal.coventry.ac.uk/en/persons/loai-alsaid,9 Feb 2024
Performance of shariah-compliant and non-shariah-compliant ETFs: a comparative study,https://pureportal.coventry.ac.uk/en/publications/performance-of-shariah-compliant-and-non-shariah-compliant-etfs-a,"Prati, A. H., Ashfaq, M., Ullah, S. &Hasan, R.,",https://pureportal.coventry.ac.uk/en/persons/rashedul-hasan,30 Sept 2024
Students’ development of employability skills through an online international hackathon,https://pureportal.coventry.ac.uk/en/publications/students-development-of-employability-skills-through-an-online-in,"Surendran, S., J. Edwards, N., Yap, M.,Bello, J., Shand, D., Mack, K. & Bodman-Smith, K.,",https://pureportal.coventry.ac.uk/en/persons/jaliyyah-bello,22 May 2024
Sustainability Management Accounting in Urban Development: A Case Study of an Egyptian State-Owned Enterprise,https://pureportal.coventry.ac.uk/en/publications/sustainability-management-accounting-in-urban-development-a-case-,"& Mutiganda, J. C.,Alsaid, L.& Mutiganda, J. C.,",https://pureportal.coventry.ac.uk/en/persons/loai-alsaid,22 Sept 2024
The cyclicality of the finance premium over the business cycle,https://pureportal.coventry.ac.uk/en/publications/the-cyclicality-of-the-finance-premium-over-the-business-cycle,"Bratsiotis, G. J. &Kalubowila, C. D.,",https://pureportal.coventry.ac.uk/en/persons/chashika-dilhara-kalubowila,15 Nov 2024
"The Finance Growth Nexus, Institutions Matter: Evidence from The A10 Countries of The Eu",https://pureportal.coventry.ac.uk/en/publications/the-finance-growth-nexus-institutions-matter-evidence-from-the-a1,",Udeogu, E.,",https://pureportal.coventry.ac.uk/en/persons/ejike-udeogu,10 Dec 2024
The global financial crisis impact on stock market efficiency: a Fourier unit root tests analysis,https://pureportal.coventry.ac.uk/en/publications/the-global-financial-crisis-impact-on-stock-market-efficiency-a-f,"Shaik, M., Kamdar, P., Nawaz, N., Rabbani, M. R.,E-Vahdati, S., Afzal Saifi, M. & Grewal, H.,",https://pureportal.coventry.ac.uk/en/persons/sahar-e-vahdati,1 Sept 2024
"The Impact of Maoism on the Architectural Vocabulary, Urban Form and Structure in the Cities of China",https://pureportal.coventry.ac.uk/en/publications/the-impact-of-maoism-on-the-architectural-vocabulary-urban-form-a,"Kozlowski, M.,Huston, S.& Mohd Yuof, Y.,",https://pureportal.coventry.ac.uk/en/persons/simon-huston,25 Jun 2024
"The impact of the global financial crisis and the European sovereign debt crisis on the capital structure of firms in Europe: Do SMEs, and listed firms respond the same?",https://pureportal.coventry.ac.uk/en/publications/the-impact-of-the-global-financial-crisis-and-the-european-sovere,"& Ode-Ichakpa, I.,Bvirindi, T.& Ode-Ichakpa, I.,",https://pureportal.coventry.ac.uk/en/persons/tinashe-bvirindi,23 May 2024
The Influence of Job Stress on Organizational Commitment Among Workers in the Palm Oil Industry: Does Job Satisfaction Matter?,https://pureportal.coventry.ac.uk/en/publications/the-influence-of-job-stress-on-organizational-commitment-among-wo,"Noor, N. A. M.,E-Vahdati, S., Yew, M. P. & Chuah, F.,",https://pureportal.coventry.ac.uk/en/persons/sahar-e-vahdati,31 May 2024
The interaction effect of board characteristics and ESG reporting on the financial performance of multinational enterprises: a quantile regression approach,https://pureportal.coventry.ac.uk/en/publications/the-interaction-effect-of-board-characteristics-and-esg-reporting,", Zarei, A. & Demir, A.,Elmghaamez, I., Zarei, A. & Demir, A.,",https://pureportal.coventry.ac.uk/en/persons/ibrahim-elmghaamez,8 May 2024
Triple-Entry Accounting and System Integration,https://pureportal.coventry.ac.uk/en/publications/triple-entry-accounting-and-system-integration,",Petratos, P.,",https://pureportal.coventry.ac.uk/en/persons/pythagoras-petratos,25 Jan 2024
Vulnerability of a developing stock market to openness: one-way return and volatility transmissions,https://pureportal.coventry.ac.uk/en/publications/vulnerability-of-a-developing-stock-market-to-openness-one-way-re,"Hassan, A.,Ibrahim, M.& Bala, A. J.,",https://pureportal.coventry.ac.uk/en/persons/masud-ibrahim,May 2024
ABC as a multi-lens sustainability reporting system in smart cities,https://pureportal.coventry.ac.uk/en/publications/abc-as-a-multi-lens-sustainability-reporting-system-in-smart-citi,"& Mutiganda, J. C.,Alsaid, L.& Mutiganda, J. C.,",https://pureportal.coventry.ac.uk/en/persons/loai-alsaid,9 Jun 2023
Assessing Plastic Circular Economy Policies and the Use of Digital Technology in Africa,https://pureportal.coventry.ac.uk/en/publications/assessing-plastic-circular-economy-policies-and-the-use-of-digita,",Ajala, O.,",https://pureportal.coventry.ac.uk/en/persons/olubunmi-ajala,31 May 2023
Assessing the Determinants of Participation in the Circular Plastic Economy by Nigerian Students,https://pureportal.coventry.ac.uk/en/publications/assessing-the-determinants-of-participation-in-the-circular-plast,"Okoya, S. A., Oyinlola, M.,Ajala, O., Kolade, O., Adefila, A. & Akinlabi, E.,",https://pureportal.coventry.ac.uk/en/persons/olubunmi-ajala,27 Apr 2023
Assessing the Use of Gold as a Zero-Beta Asset in Empirical Asset Pricing: Application to the US Equity Market,https://pureportal.coventry.ac.uk/en/publications/assessing-the-use-of-gold-as-a-zero-beta-asset-in-empirical-asset,"Abdullah, M., Abdou, H. A., Godfrey, C., Elamer, A. A. & Ahmed, Y.,",,15 Mar 2023
Audit Committee and Dividend Policy of Financial Firms in Malaysia,https://pureportal.coventry.ac.uk/en/publications/audit-committee-and-dividend-policy-of-financial-firms-in-malaysi,"& Ashfaq, M.,Hasan, R.& Ashfaq, M.,",https://pureportal.coventry.ac.uk/en/persons/rashedul-hasan,7 Dec 2023
Ayondo Ltd. Corporate Governance Issues of First FinTech Company Listed on the Catalist Board of Singapore Exchange,https://pureportal.coventry.ac.uk/en/publications/ayondo-ltd-corporate-governance-issues-of-first-fintech-company-l,",Tiong, P. N. C.,",https://pureportal.coventry.ac.uk/en/persons/paul-tiong,7 Dec 2023
Bank stock valuation theories: do they explain prices based on theories?,https://pureportal.coventry.ac.uk/en/publications/bank-stock-valuation-theories-do-they-explain-prices-based-on-the,"Leong, K. Y., Ariff, M., Zarei, A. & Bhatti, M. I.,",,28 Mar 2023
Benefits on the Margin from Public Spending across Healthcare Levels and Geopolitical Zones in Nigeria,https://pureportal.coventry.ac.uk/en/publications/benefits-on-the-margin-from-public-spending-across-healthcare-lev,"Amakom, U.,Udeogu, E.& Nwosu, B. U.,",https://pureportal.coventry.ac.uk/en/persons/ejike-udeogu,Oct 2023
Cash Holdings and R&D Intensity with Different Controlling Shareholders,https://pureportal.coventry.ac.uk/en/publications/cash-holdings-and-rampd-intensity-with-different-controlling-shar,", Setiawan, D., Kontesa, M. & Soo, L. U.,Brahmana, R. K., Setiawan, D., Kontesa, M. & Soo, L. U.,",https://pureportal.coventry.ac.uk/en/persons/rayenda-khresna-brahmana,24 Jan 2023
CEO Duality and Firm Performance: A Systematic Review and Research Agenda,https://pureportal.coventry.ac.uk/en/publications/ceo-duality-and-firm-performance-a-systematic-review-and-research,",Yu, M.,",https://pureportal.coventry.ac.uk/en/persons/mei-yu,1 Jun 2023
Competing Institutional Logics and Power Dynamics in Islamic Financial Reporting Standardisation Projects,https://pureportal.coventry.ac.uk/en/publications/competing-institutional-logics-and-power-dynamics-in-islamic-fina,"Abras, A. & Jayasinghe, K.,",,10 Jan 2023
Conceptualising Accounting as a Value-Based Concept in the Context of Alternative Finance,https://pureportal.coventry.ac.uk/en/publications/conceptualising-accounting-as-a-value-based-concept-in-the-contex,",Alamad, S.,",https://pureportal.coventry.ac.uk/en/persons/samir-alamad,29 Dec 2023
"Corporate Governance and Financial Performance of Firms Listed on Asian Pacific Stocks: Evidence from Malaysia, Thailand, and Singapore",https://pureportal.coventry.ac.uk/en/publications/corporate-governance-and-financial-performance-of-firms-listed-on,"& Xin Yao, G.,Elmghaamez, I.& Xin Yao, G.,",https://pureportal.coventry.ac.uk/en/persons/ibrahim-elmghaamez,9 Mar 2023
Corporate Political Activity and Bribery in Africa: Do Internet Penetration and Foreign Ownership Matter?,https://pureportal.coventry.ac.uk/en/publications/corporate-political-activity-and-bribery-in-africa-do-internet-pe,"Liedong, T.,Aghanya, D., Jimenez, A. & Rajwani, T.,",https://pureportal.coventry.ac.uk/en/persons/daniel-aghanya,Jan 2023
"Corporate Sustainability Orientation, Sustainable Development Practices, and Firm Performance of MSMEs in Malaysia",https://pureportal.coventry.ac.uk/en/publications/corporate-sustainability-orientation-sustainable-development-prac,"Mah, P. Y., Chuah, F. &E-Vahdati, S.,",https://pureportal.coventry.ac.uk/en/persons/sahar-e-vahdati,2023
Determinants of Digital Innovation in Micro and Small Industries,https://pureportal.coventry.ac.uk/en/publications/determinants-of-digital-innovation-in-micro-and-small-industries,"Martini, M., Setiawan, D., Suryandari, R. T.,Brahmana, R. K.& Asrihapsari, A.,",https://pureportal.coventry.ac.uk/en/persons/rayenda-khresna-brahmana,20 Jun 2023
Do board characteristics moderate the relationship between political connections and cash holdings? insight from Asian countries,https://pureportal.coventry.ac.uk/en/publications/do-board-characteristics-moderate-the-relationship-between-politi,"Abdullah, Hashmi, M. A.,Brahmana, R. K.& Fareeduddin, H.,",https://pureportal.coventry.ac.uk/en/persons/rayenda-khresna-brahmana,21 Dec 2023
Does natural resource curse in finance exist in Africa? Evidence from spatial techniques,https://pureportal.coventry.ac.uk/en/publications/does-natural-resource-curse-in-finance-exist-in-africa-evidence-f,"Nurmakhanova, M., Elheddad, M.,  Alfar, A. J. K.,Egbulonu, A.& Abedin, M.,",https://pureportal.coventry.ac.uk/en/persons/alloysius-egbulonu,Jan 2023
Does shared tenure between audit committee chair and engagement partner affect audit outcomes? Evidence from the UK,https://pureportal.coventry.ac.uk/en/publications/does-shared-tenure-between-audit-committee-chair-and-engagement-p,"Alhababsah, S. &Alhaj Ismail, A.,",https://pureportal.coventry.ac.uk/en/persons/alaa-alhaj-ismail,Mar 2023
Do insider investment horizons contain information? Evidence from Australia,https://pureportal.coventry.ac.uk/en/publications/do-insider-investment-horizons-contain-information-evidence-from-,"Hoang, L. T.,Hossain, Z., Tong, J. Y. & Yang, J. W.,",https://pureportal.coventry.ac.uk/en/persons/zakir-hossain,Jun 2023
Evaluating the failure of British Home Stores (BHS):  A case study using Taffler Z-score model and SWOT analysis,https://pureportal.coventry.ac.uk/en/publications/evaluating-the-failure-of-british-home-stores-bhs-a-case-study-us,"& Adhikari Parajuli, M.,Elmghaamez, I.& Adhikari Parajuli, M.,",https://pureportal.coventry.ac.uk/en/persons/ibrahim-elmghaamez,3 Apr 2023
"Fake news, misinformation, disinformation and supply chain risks and disruptions: risk management and resilience using blockchain",https://pureportal.coventry.ac.uk/en/publications/fake-news-misinformation-disinformation-and-supply-chain-risks-an,"& Faccia, A.,Petratos, P.& Faccia, A.,",https://pureportal.coventry.ac.uk/en/persons/pythagoras-petratos,Aug 2023
"Financial inclusion, corporate social responsibility and firm performance – analysis of interactive relationship",https://pureportal.coventry.ac.uk/en/publications/financial-inclusion-corporate-social-responsibility-and-firm-perf,"Bhattacharyya, A. &Khan, M.,",https://pureportal.coventry.ac.uk/en/persons/mahbub-khan,21 Mar 2023
Financial inclusion – does digital financial literacy matter for women entrepreneurs?,https://pureportal.coventry.ac.uk/en/publications/financial-inclusion-does-digital-financial-literacy-matter-for-wo,", Ashfaq, M., Parveen, T. & Gunardi, A.,Hasan, R., Ashfaq, M., Parveen, T. & Gunardi, A.,",https://pureportal.coventry.ac.uk/en/persons/rashedul-hasan,4 Aug 2023
Global trends in board diversity research: a bibliometric view,https://pureportal.coventry.ac.uk/en/publications/global-trends-in-board-diversity-research-a-bibliometric-view,"Khatib, S. F. A., Abdullah, D. F., Elamer, A., Yahaya, I. S. & Owusu, A.,",,21 Mar 2023
How do credit ratings affect corporate investment efficiency?,https://pureportal.coventry.ac.uk/en/publications/how-do-credit-ratings-affect-corporate-investment-efficiency,"Xiao, D. & Yu, X.,",,7 Dec 2023
"Insider Trading, Executive Pay Disparity and CEO Turnover",https://pureportal.coventry.ac.uk/en/publications/insider-trading-executive-pay-disparity-and-ceo-turnover,"Nguyen, A.-N.,Le, V., Fobres, W. & Gregoriou, A.,",https://pureportal.coventry.ac.uk/en/persons/viet-le,2023
Islamic Home Finance in the UK: A Partial Least Square Structural Equation Modelling Approach,https://pureportal.coventry.ac.uk/en/publications/islamic-home-finance-in-the-uk-a-partial-least-square-structural-,"Ahmed, T.,Kabir, S.,",https://pureportal.coventry.ac.uk/en/persons/sarkar-kabir,25 Feb 2023
Luckin Coffee: A Look at Corporate Governance in the Chinese Market,https://pureportal.coventry.ac.uk/en/publications/luckin-coffee-a-look-at-corporate-governance-in-the-chinese-marke,"& Obot, I.,Zhang, Y.& Obot, I.,",https://pureportal.coventry.ac.uk/en/persons/yiqian-zhang,7 Dec 2023
