News,Labels
"That could deliver a major hit to the US economy, which is driven by consumer spending and has grown increasingly dependent on those richer households, as lower income families face pressure from inflation.",Business
"Both General Motors and Ford estimated increased commodity costs following Canadian steel and aluminum tariffs put in place in 2018 cost them more than $1 billion each. American steel prices are already up 30% or more in the last two months, according to Phil Gibbs, steel analyst for KeyBanc, and aluminum prices are up about 15%.",Business
"That�s a cost that�would be passed onto dealers, who buy vehicles wholesale, and eventually onto car buyers, making cars that are already near record high prices unaffordable for many buyers, or unprofitable for the automakers to continue to build. So the result would likely be less production, and fewer jobs building cars and parts.",Business
"The plants now under construction are partly funded with federal assistance from the Inflation Reduction Act, the green energy bill passed during the Biden administration that Trump has made clear he wants to see rolled back.",Business
"Regional technology shares were among the losers. Japanese tech giants, including Sony and Hitachi, plummeted more than 4.5% in the morning, and closed over 5% lower. Softbank slumped 4.3% on Tuesday.",Business
"JPMorgan economists alarmingly wrote last week that the US economy now has a 40% chance of falling into a recession this year. That�s up from 30% forecast by JPMorgan at the start of the year. The bank cited a �less business-friendly stance� from US policy, including a more aggressive trade war than feared, as well as �aggressive efforts� by Elon Musk�s Department of Government Efficiency to slash federal hiring and spending.",Business
"Tumbling markets can pose a problem in and of themselves. Seeing markets in the red can sap consumers� confidence, because many Americans incorrectly believe the Dow Jones serves as a barometer for the health of the US economy. But many people also rely on stocks for their retirement funds, and watching stocks sink sharply gives them pause about their financial position.",Business
"Many businesses are struggling under Trump�s chaotic tariff announcements, which have escalated trade tensions between the world�s two largest economies.�Retailers�have told CNN�that they may have to raise prices at a time when many customers are already feeling financial pressure and the pinch of inflation.",Business
"In a possible warning, it added that Chinese authorities could �take further action� if the American retailer continues to press its case for discounts. Even though asking suppliers to�lower their prices�isn�t unusual in China, it�s a tough proposition at the moment because many are already running their businesses with ultra-thin margins.",Business
"But even Tesla is bracing for pain.�Elon Musk�s carmaker � whose shares have fallen roughly 40 percent this year � sent an unsigned letter to Jamieson Greer, the U.S. trade representative and a noted tariff hawk, warning that a trade war could have �disproportionate impacts� on its business, The Financial Times reported.",Business
"US toy sales totaling $42 billion a year are heavily reliant on China for manufacturing. And it turns out Chinese factories are pretty good at meeting US safety standards, toy executives say. They fear that scrambling to quickly source goods from factories in Indonesia, Vietnam and elsewhere to dodge tariffs would be a gamble with product safety.",Business
"�The hard piece is juggling the reality that you can�t be in business if you�re not making money,� he said. �But then you also have to continue to take those price changes on the chin because the consumer is only willing to give you so much.�",Business
"And now, the aluminum industry is undergoing a wave of consolidation, with some companies shifting to only working with major brewers such as Anheuser-Busch InBev or being bought by other manufacturers, resulting in a decline in smaller brewers to work with third-party companies that hunt and source aluminum on a global scale.",Business
"Moosehead noted that the independent brewery was founded the same year as Canada, and both have �been through a lot� over the past 158 years. �While we can�t predict how the next four years will go, we have a feeling that this large pack will come in handy,� Grigg added.",Business
"Still, Oland believes that patriotism will win out. He said there�s a �real opportunity for brewers in Canada� to capitalize on the �Buy Canadian� movement that the tariffs have inspired.",Business
Both Apple and Google�have suggested alternative proposals that would involve a shared responsibility for age verification between app stores and app developers. They�re also pushing for privacy-protected age data to be shared only with the platforms that need it.,Business
"The day the Utah bill passed, Meta, Snap and X released a joint statement applauding the legislation that said, �Parents want a one-stop shop to verify their child�s age and grant permission for them to download apps in a privacy-preserving way.�",Business
"Economists were expecting wholesale-level inflation to cool amid falling energy prices, and that was the case: Energy prices fell 1.2% for the month.",Business
"Increases in wholesale good prices could reflect not just the direct impact from tariffs but also producers raising prices in anticipation of �trade war fallout,� said Elizabeth Renter, NerdWallet�s senior economist.",Business
"And keeping up with the changes in policy is almost a full-time job. Thursday morning, Commerce Secretary Howard Lutnick told�CNBC�that the administration is preparing to announce another�one-month delay�in tariffs that were just put in place Tuesday on nearly all goods from Canada and Mexico.",Business
"Businesses did their best to prepare for the tariffs, on the assumption the Trump administration would follow through on his tariff threats and leave them in place. As a result, the US trade gap nearly doubled in January compared to a year earlier, due to a surge of goods flooding into the nation ahead of threatened tariffs.",Business
"Businesses have recently expressed growing concern about trade policy, according to the��Beige Book,��a summary of economic conditions released Wednesday by the Federal Reserve. Executives in �most� Fed districts said they expect potential tariffs would cause them to raise prices, with �isolated reports� of firms raising prices �preemptively.�",Business
"Schumer argued his party had only bad options when it came to shutting down the government � possibly for months � to challenge Trump, or accepting a GOP bill that Democrats have warned would cut spending to programs like veterans� health care or Washington, DC, firefighters and police.",Politics
"After voting to pass the stopgap bill, the Senate approved a separate measure to allow Washington, DC, to maintain control over its funds after Democrats warned the Republican funding package would cut $1.1 billion of the city�s funding. The measure would next need to be passed by the House, where its fate is unclear.",Politics
"�My job as leader is to lead the party and if there�s going to be danger in the near future, to protect the party. And I�m proud I did it, I knew I did the right thing, and I knew there would be some disagreements. That�s how it always is,� he said.",Politics
"�We are in a perverse, bizarro land where we�re having to decide between letting Donald Trump wreck the government this way or wreck the government that way,� New Jersey Democratic Sen. Cory Booker said of Democrats� predicament.",Politics
"When the Senate votes Friday, many Democrats expect the vote to reflect the generational divide in the chamber. Freshmen senators, like Elissa Slotkin of Michigan and Ruben Gallego of Arizona � who many believed would vote for the bill because they hold seats in states Trump won in November � instead remained firmly opposed and signaled they wanted to use the funding bill to fight the president. And the disconnect reflects a simmering tension that runs through the Democratic Party far beyond Washington.",Politics
"�The artificial line of separation drawn many years ago will finally disappear,� Trump said, mangling history during a standoff with Ontario�s premier that threatened to open a new front in the trade war Tuesday. He also promised Canada could keep its anthem, �O Canada.�",Politics
"Canada�s population exceeds that of California, the most populous US state, and if it were admitted to the US as a single entity rather than as 10 separate provinces, it would instantly upend the political equilibrium in today�s nearly evenly divided US system.",Politics
"Chief Judge Albert Diaz, an Obama appointee, wrote a concurring opinion praising efforts to promote diversity, and he said �there should be room for open discussion and principled debate about DEI programs.� However, he echoed a concurrence by a fellow member of the appellate panel, Judge Pamela Harris, by raising the possibility of constitutional violations depending on how agencies carry out Trump�s orders. The concurring opinion from Harris, an Obama appointee as well, pointed out that some of Trump�s directives appeared to be limited in scope as their language took aim specifically at �conduct that violates existing federal anti-discrimination law.�",Politics
"Howell granted the firm�s request for a temporary restraining order for some sections of Trump�s order. The parts being blocked include its limitations on government contracts with clients of the firm and the potential restrictions it puts on the firm�s employees, such as bans on hiring those employees for government positions or barring their access to federal buildings.",Politics
"Hamas has agreed to release U.S. citizen Edan Alexander, a soldier captured on October 7, along with the bodies of four slain dual-national hostages. The terror group announced its willingness to negotiate a broader deal but demanded that Israel fulfill its obligations.",Politics
"A shocking investigation reveals that nearly all of President Joe Biden�s executive orders bear identical autopen signatures, raising questions about his involvement in key decisions. The Oversight Project claims Biden�s signature on official documents was mechanically reproduced, not personally signed.",Politics
"The president and his allies accuse South Africa of discriminating against and killing white people, and warn that it could happen in America if antiracism laws aren�t stopped.",Politics
"Happy Friday! A government shutdown will be avoided, but the Democratic infighting has only just begun. Kristen Welker examines how tensions boiled over this week within the party. Plus, Ken Dilanian explores how President Donald Trump has put his stamp on the Justice Department. And Henry J. Gomez asks Vice President JD Vance about the future of TikTok in the U.S.",Politics
"The vote was 54-46, with two members of the Democratic caucus joining all but one Republican in support, sending the bill to President Donald Trump�s desk for a signature. But prior to final passage, Senate Minority Leader Chuck Schumer, D-N.Y., and nine other Democrats helped the measure clear a 60-vote procedural hurdle in the GOP-controlled chamber. 
",Politics
"Tensions boiled over after Schumer first announced on Thursday he would vote in favor of advancing the GOP spending bill, despite Democratic fears that the measure passed by the House would enable Trump and Elon Musk to further lay off government workers and seek to eliminate programs without congressional input. ",Politics
"�Musk has told everybody he wants a shutdown because he knows it will help him achieve his horrible goal of just decimating the federal government from one end to the other,� Schumer said. �In other words, if government were to shut down, DOGE has a plan in place to exploit the crisis for maximum destruction.� ",Politics
"Trump praised Schumer on Truth Social, calling his announcement a �really good and smart move� that took �guts and courage.� House Democratic Caucus Chair Pete Aguilar of California responded to the president�s post: �When Donald Trump wakes up in the morning and says, �You�re doing the right things Senate Democrats,� we don�t feel that is the right place to be.�",Politics
"I�ve been speaking to a number of Democratic sources, and while some were relieved by Schumer�s move, one congressional aide told me to expect �severe� blowback from the base. The aide also noted the divide seems to be falling largely along generational lines, with some of the newest voices in the Senate being some of the staunchest opponents to Schumer�s strategy.",Politics
"Why the backlash? Well, one, a number of vulnerable House Democrats in Trump districts opposed the bill earlier this week, and now feel like they took a tough vote for no reason. Second, some Democrats feel as though keeping the government open is basically giving Trump and Musk a green light to move forward with their deep cuts. And third, perhaps most importantly, many in the party saw this fight as the best opportunity to register their opposition to Trump. The question is: If not now, when?
",Politics
Vice President JD Vance told NBC News� Henry J. Gomez that �there will almost certainly be a high-level agreement� to sell TikTok and keep the social media app running in the U.S. by the April 5 deadline.,Politics
"Trump�s first pick, then-Rep. Matt Gaetz, R-Fla., who had been investigated by the Justice Department in connection with allegations of sex trafficking � he denied the allegations and the DOJ decided not to bring charges � was seen as someone chosen because he would do whatever Trump asked, regardless of the ethics or law. ",Politics
"Vowing to end the politicization she says occurred during the Biden administration, Bondi has implemented her own regime of politicization, critics say. The Trump administration, with Bondi�s help, appears to be seeking to transform the Justice Department into a political instrument of the president � something that no Republican or Democratic administration has done since Richard Nixon.",Politics
"After a swift and improbable ascent, Mark Carney, the former Bank of Canada governor, took office as the country�s 24th prime minister on Friday morning. A crisis-less Carney, with his Bank of England, Bank of Canada, Goldman Sachs, Harvard, and Oxford credentials, likely would have had a more grueling race to the top if not for the U.S. trade war provocations, and been dismissed as a wealthy cosmopolitan banker type, far removed from the struggles of ordinary people. But he has emerged as a champion for many anxious Canadians consigned to a once-unfathomable dystopia: being held hostage to an American president bent on wrecking the North American economy.",Politics
